|     C      |   Degree   |   Kernel   |   Gamma    |  Decision Function   |  Accuracy  |
|     3      |     2      |   linear   |   scale    |         ovr          |   0.9610   |
|     3      |     2      |    poly    |    0.01    |         ovo          |   0.9716   |
|     3      |     2      |    poly    |    0.01    |         ovr          |   0.9716   |
|     3      |     2      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     3      |     2      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     3      |     2      |  sigmoid   |    0.01    |         ovo          |   0.1091   |
|     3      |     2      |  sigmoid   |    0.01    |         ovr          |   0.1091   |
|     3      |     3      |   linear   |   scale    |         ovo          |   0.9610   |
|     3      |     3      |   linear   |   scale    |         ovr          |   0.9610   |
|     3      |     3      |    poly    |    0.01    |         ovo          |   0.9750   |
|     3      |     3      |    poly    |    0.01    |         ovr          |   0.9750   |
|     3      |     3      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     3      |     3      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     3      |     3      |  sigmoid   |    0.01    |         ovo          |   0.1091   |
|     3      |     3      |  sigmoid   |    0.01    |         ovr          |   0.1091   |
|     5      |     1      |   linear   |   scale    |         ovo          |   0.9610   |
|     5      |     1      |   linear   |   scale    |         ovr          |   0.9610   |
|     5      |     1      |    poly    |    0.01    |         ovo          |   0.9622   |
|     5      |     1      |    poly    |    0.01    |         ovr          |   0.9622   |
|     5      |     1      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     5      |     1      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     5      |     1      |  sigmoid   |    0.01    |         ovo          |   0.1085   |
|     5      |     1      |  sigmoid   |    0.01    |         ovr          |   0.1085   |
|     5      |     2      |   linear   |   scale    |         ovo          |   0.9610   |
|     5      |     2      |   linear   |   scale    |         ovr          |   0.9610   |
|     5      |     2      |    poly    |    0.01    |         ovo          |   0.9716   |
|     5      |     2      |    poly    |    0.01    |         ovr          |   0.9716   |
|     5      |     2      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     5      |     2      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     5      |     2      |  sigmoid   |    0.01    |         ovo          |   0.1085   |
|     5      |     2      |  sigmoid   |    0.01    |         ovr          |   0.1085   |
|     5      |     3      |   linear   |   scale    |         ovo          |   0.9610   |
|     5      |     3      |   linear   |   scale    |         ovr          |   0.9610   |
|     5      |     3      |    poly    |    0.01    |         ovo          |   0.9750   |
|     5      |     3      |    poly    |    0.01    |         ovr          |   0.9750   |
|     5      |     3      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     5      |     3      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     5      |     3      |  sigmoid   |    0.01    |         ovo          |   0.1085   |
|     5      |     3      |  sigmoid   |    0.01    |         ovr          |   0.1085   |
|     10     |     1      |   linear   |   scale    |         ovo          |   0.9610   |
|     10     |     1      |   linear   |   scale    |         ovr          |   0.9610   |
|     10     |     1      |    poly    |    0.01    |         ovo          |   0.9616   |
|     10     |     1      |    poly    |    0.01    |         ovr          |   0.9616   |
|     10     |     1      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     10     |     1      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     10     |     1      |  sigmoid   |    0.01    |         ovo          |   0.1085   |
|     10     |     1      |  sigmoid   |    0.01    |         ovr          |   0.1085   |
|     10     |     2      |   linear   |   scale    |         ovo          |   0.9610   |
|     10     |     2      |   linear   |   scale    |         ovr          |   0.9610   |
|     10     |     2      |    poly    |    0.01    |         ovo          |   0.9716   |
|     10     |     2      |    poly    |    0.01    |         ovr          |   0.9716   |
|     10     |     2      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     10     |     2      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     10     |     2      |  sigmoid   |    0.01    |         ovo          |   0.1085   |
|     10     |     2      |  sigmoid   |    0.01    |         ovr          |   0.1085   |
|     10     |     3      |   linear   |   scale    |         ovo          |   0.9610   |
|     10     |     3      |   linear   |   scale    |         ovr          |   0.9610   |
|     10     |     3      |    poly    |    0.01    |         ovo          |   0.9750   |
|     10     |     3      |    poly    |    0.01    |         ovr          |   0.9750   |
|     10     |     3      |    rbf     |    0.01    |         ovo          |   0.7535   |
|     10     |     3      |    rbf     |    0.01    |         ovr          |   0.7535   |
|     10     |     3      |  sigmoid   |    0.01    |         ovo          |   0.1085   |
|     10     |     3      |  sigmoid   |    0.01    |         ovr          |   0.1085   |
